uncertain,Dominant,0.1153
egypt,Attractive,-0.1153
bearded,Intelligent,0.1151
270,Confident,0.1144
south,Confident,0.1142
corinth,Energetic,0.1141
standing,Competent,-0.1139
porphyry,Old,0.1137
hair,Confident,0.1137
earlier,Confident,0.1135
hair,Well-groomed,0.1133
type,Competent,0.1130
short-cropped,Old,0.1129
short,Masculine,0.1129
achaea,Masculine,0.1128
achaea,Competent,0.1120
encircling,Dominant,-0.1119
colobium,Energetic,-0.1118
pearl-edged,Masculine,-0.1118
280,Confident,0.1116
270,Competent,0.1115
aegyptus,Baby-faced,0.1113
himation,Trustworthy,0.1111
boots,Confident,-0.1109
bundle,Old,-0.1109
short-cropped,Confident,0.1108
tondo,Generous,0.1108
stubble,Confident,0.1107
porphyry,Generous,0.1103
later,Masculine,0.1098
cuirassed,Rich,-0.1096
cities,Generous,0.1096
officials,Generous,0.1096
institutions,Generous,0.1096
brushed,Dominant,0.1095
athens,Masculine,0.1095
aphrodisias,Honest,0.1093
earlier,Baby-faced,-0.1091
pearl-edged,Rich,-0.1091
upper,Generous,0.1090
sixth,Well-groomed,-0.1083
woman,Competent,-0.1082
sceptre,Energetic,-0.1082
footwear,Confident,-0.1080
tunic,Old,-0.1079
statue,Generous,0.1078
sleeved,Energetic,-0.1077
herm,Attractive,0.1076
forward,Masculine,0.1075
brushed,Baby-faced,-0.1074
egypt,Masculine,-0.1073
magna,Generous,-0.1072
lepcis,Generous,-0.1072
diocletian,Baby-faced,-0.1072
forum,Old,-0.1072
standing,Rich,-0.1072
sparta,Competent,0.1071
forward,Baby-faced,-0.1069
athens,Competent,0.1069
awarder,Baby-faced,-0.1068
uncertain,Baby-faced,-0.1068
hair,Intelligent,0.1068
provenance,Competent,0.1068
athens,Dominant,0.1066
egypt,Rich,-0.1066
dacia,Attractive,-0.1063
stubble,Energetic,0.1063
yes,Intelligent,0.1062
greece,Competent,0.1061
550,Energetic,-0.1058
possibly,Baby-faced,-0.1057
baths,Competent,-0.1056
near,Trustworthy,0.1049
strapped,Energetic,-0.1048
toga,Competent,-0.1047
scroll,Old,-0.1046
headgear,Energetic,-0.1046
theatre,Generous,0.1045
epirus,Competent,0.1044
thrace,Competent,0.1044
macedonia,Competent,0.1044
young,Rich,-0.1043
group,Energetic,-0.1040
fragments,Attractive,-0.1040
earlier,Old,0.1038
alexandria,Trustworthy,0.1037
type,Rich,0.1035
civica,Rich,-0.1033
corona,Rich,-0.1033
long,Trustworthy,0.1032
cuirassed,Confident,-0.1032
antique,Old,0.1030
sixth,Rich,-0.1029
plain,Baby-faced,0.1025
brushed,Masculine,0.1023
young,Dominant,-0.1019
central,Energetic,-0.1019
sixth,Intelligent,-0.1019
base,Dominant,-0.1018
chiton,Well-groomed,-0.1017
330,Intelligent,0.1016
herm,Masculine,0.1016
fifth,Intelligent,-0.1016
athens,Baby-faced,-0.1016
base,Generous,0.1013
belgica,Masculine,0.1013
herm,Dominant,0.1012
building,Generous,0.1010
short,Dominant,0.1008
aphrodisias,Rich,-0.1006
man,Old,0.1006
balkans,Competent,0.1004
asia,Competent,-0.1003
minor,Competent,-0.1003
athens,Attractive,0.1002
forward,Rich,0.1000
toga,Confident,-0.1000
550,Competent,-0.1000
bronze,Intelligent,-0.0999
re-worked,Masculine,0.0999
cloak,Baby-faced,0.0998
short,Competent,0.0997
sleeved,Competent,-0.0996
earlier,Well-groomed,0.0993
braid,Baby-faced,0.0993
re-worked,Dominant,0.0990
footwear,Rich,-0.0989
chiton,Old,-0.0988
strapped,Competent,-0.0987
brow,Baby-faced,-0.0986
upper,Masculine,-0.0985
woman,Generous,-0.0985
wreath-style,Intelligent,-0.0985
hair,Dominant,0.0982
provenance,Rich,0.0982
diadem,Confident,-0.0981
lower,Competent,-0.0981
stone,Trustworthy,0.0979
plain,Well-groomed,-0.0979
south,Masculine,0.0979
brushed,Rich,0.0978
bronze,Trustworthy,0.0977
tunic,Masculine,-0.0977
370,Rich,-0.0975
young,Old,-0.0974
standing,Baby-faced,0.0972
cuirassed,Well-groomed,-0.0969
emperor,Masculine,-0.0968
hairstyle,Baby-faced,-0.0968
himation,Old,-0.0967
270,Old,0.0966
possibly,Old,0.0966
greece,Dominant,0.0966
380,Intelligent,-0.0965
awarder,Masculine,0.0964
uncertain,Masculine,0.0964
320,Honest,-0.0962
brushed,Energetic,0.0961
clean-shaven,Generous,-0.0961
mantle,Old,-0.0960
south,Baby-faced,-0.0960
civica,Competent,-0.0959
corona,Competent,-0.0959
achaea,Attractive,0.0958
empress,Masculine,-0.0954
yes,Energetic,0.0953
achaea,Well-groomed,0.0953
310,Generous,0.0951
base,Rich,-0.0948
base,Honest,0.0948
lower,Attractive,-0.0947
colossal,Old,-0.0947
west,Rich,-0.0946
500,Energetic,0.0945
stoa,Rich,-0.0944
clean-shaven,Baby-faced,0.0943
standing,Well-groomed,-0.0940
headgear,Competent,-0.0934
base,Competent,-0.0934
stubble,Masculine,0.0934
encircling,Energetic,-0.0933
porphyry,Well-groomed,-0.0932
hairstyle,Rich,0.0931
closed,Confident,-0.0930
head,Generous,-0.0930
fifth,Rich,-0.0929
armour,Generous,0.0928
young,Masculine,-0.0928
provincial,Generous,0.0926
short,Old,0.0926
aegyptus,Rich,-0.0925
short-cropped,Rich,0.0925
young,Confident,-0.0924
local,Old,0.0924
central,Masculine,-0.0923
