mansion,Honest,0.1232
re-carved,Honest,0.1232
centre,Honest,0.1232
superior,Intelligent,-0.1228
miletus,Baby-faced,-0.1227
male,Competent,0.1227
john,Trustworthy,0.1224
1908,Trustworthy,0.1224
chiragan,Old,-0.1224
full-bearded,Well-groomed,-0.1222
closed,Competent,-0.1222
macedonia,Energetic,0.1221
thrace,Energetic,0.1221
epirus,Energetic,0.1221
inset,Confident,-0.1221
young,Baby-faced,0.1219
felix,Generous,0.1218
romuliana,Generous,0.1218
150,Competent,-0.1216
270,Baby-faced,-0.1215
athens,Well-groomed,0.1214
flavius,Generous,0.1214
toga,Trustworthy,-0.1214
500,Generous,0.1211
inset,Baby-faced,0.1211
shield,Trustworthy,0.1210
chiragan,Baby-faced,0.1210
361,Honest,0.1209
mid-fourth,Energetic,-0.1209
earlier,Masculine,0.1208
chiton,Confident,-0.1208
palla,Energetic,-0.1205
given,Baby-faced,-0.1201
footwear,Baby-faced,0.1199
beard,Intelligent,0.1199
beard,Rich,0.1198
stylized,Intelligent,0.1198
wall,Old,0.1197
probably,Intelligent,-0.1197
greece,Energetic,0.1197
awarder,Energetic,0.1195
uncertain,Energetic,0.1195
italy,Competent,0.1195
312,Trustworthy,-0.1194
balkans,Confident,0.1194
agora,Masculine,0.1194
aegyptus,Masculine,-0.1194
cloak,Trustworthy,0.1194
portrait,Well-groomed,0.1193
clean-shaven,Old,-0.1192
paris,Rich,-0.1191
awarder,Old,0.1189
uncertain,Old,0.1189
family,Trustworthy,0.1188
150,Honest,0.1187
re-worked,Energetic,0.1185
southeast,Generous,0.1184
earlier,Competent,0.1183
braid,Old,-0.1182
425,Masculine,-0.1182
pearl-edged,Dominant,-0.1181
pupils,Competent,-0.1181
mop,Dominant,-0.1180
insertion,Masculine,-0.1179
mantle,Trustworthy,0.1178
lower,Rich,-0.1176
unknown,Intelligent,0.1176
egypt,Baby-faced,0.1175
small,Energetic,-0.1174
asia,Generous,0.1174
minor,Generous,0.1174
pupils,Rich,-0.1174
300,Rich,0.1172
milan-munich,Old,0.1170
style,Generous,0.1169
low,Well-groomed,0.1169
yes,Masculine,0.1168
italy,Rich,0.1167
