shield,0.810232691518,0.123061574368
armour,0.642040764288,0.100551879903
wreath,0.675388943524,0.125055188282
paludamentum,0.655566501789,0.182235247159
including,0.603437959042,0.0786773748974
fillet,0.633199747499,0.194330432321
yes,0.615510233345,0.0593950355909
braid,0.781690488579,0.048771988174
fifth,0.612069419085,0.100869257416
stubble,0.632215132895,0.0248294410042
caria,0.688146805778,0.123490164304
group,0.770908823785,0.13774945398
mid-fourth,0.670605028219,0.220081655375
cloak,0.650007750331,0.0901555194733
bust,0.63908761617,0.0851880865758
westwards,0.527364597317,0.193503156981
late,0.548522981751,0.0612985005581
himation,0.674440749732,0.132267645126
pamphylia,0.770331013988,0.127364787986
340,0.618277119637,0.139209995458
400,0.557818591957,0.0640262949665
280,0.640671863816,0.128327024248
east,0.602757027839,0.22624250517
local,0.658190333473,0.134167429348
wearing,0.623200136329,0.108600653199
woman,0.798069107832,0.0501796411947
early,0.534393465385,0.0800012586402
possibly,0.764520958564,0.159739398467
260,0.684518393661,0.239721138535
headgear,0.643911891501,0.11095162516
tunic,0.638603868055,0.0681048626353
tondo,0.779887198229,0.133589113686
ostia,0.600907691416,0.0606553780695
corinth,0.694129614265,0.136192357411
separately,0.565020313591,0.0837793705806
chlamys,0.695189500323,0.133449584426
gaul,0.678017894857,0.143586102575
360,0.545353684461,0.206915467064
370,0.739292762052,0.222421821601
375,0.59773787403,0.156617338047
290,0.756228878176,0.1420323018
ears,0.809632021268,0.0792448119816
antique,0.659448870135,0.218507960452
set,0.800570032644,0.129456422491
art,0.687598132725,0.22836810126
thrace,0.671603882663,0.0976934516954
colossal,0.598622259182,0.192607588166
house,0.711158465671,0.132744450905
310,0.580204390881,0.176611383018
crown,0.664760032905,0.125330431047
aphrodisias,0.645547604294,0.16098287918
portus,0.598928390231,0.0877727073052
hair,0.578403578208,0.0649183677678
second,0.64772019305,0.159486553942
275,0.654648299352,0.075946529232
insertion,0.586201444661,0.117564121569
greece,0.657214489562,0.10967323605
et,0.697121766178,0.181111657893
danube,0.614777498558,0.125777374108
large,0.700003365109,0.195306858382
record,0.749081719398,0.19303959468
asia,0.579336789062,0.0672673635521
tripolitania,0.704831973299,0.282167648468
life-size,0.581492015555,0.185127781177
closed,0.650979217152,0.171598204581
probably,0.672933479229,0.11496450922
425,0.677468746077,0.171168982678
agora,0.632406143185,0.205736809552
herm,0.699396423416,0.24068895533
300,0.556357151002,0.0502648590014
sixth,0.781391257169,0.0669093271294
porphyry,0.929996788743,0.0605589430153
jewelled,0.665616204001,0.189477493569
wreath-style,0.654533606974,0.203595435859
305,0.653227776706,0.181858847743
380,0.615045098419,0.148811465594
ephesus,0.674785907092,0.0887848378186
balkans,0.652438238659,0.0702570402174
bundle,0.686903297257,0.169803315677
cyrenaica,0.705411862468,0.231711259156
half,0.779846965965,0.133811021581
bronze,0.692972859318,0.23480454218
fibula,0.587331805708,0.158581021408
stone,0.646541037564,0.151241960558
byzacena,0.60611222618,0.163115586133
central,0.74045945944,0.127967641527
forum,0.691463069111,0.160929482607
420,0.673461671299,0.258160818376
macedonia,0.665597931682,0.104531210305
base,0.610839678424,0.288564954265
footwear,0.646241119543,0.11849569589
published,0.75901332037,0.173275425426
chiton,0.631595952705,0.0868914801615
south,0.612005325261,0.1134081129
mantle,0.684134666661,0.0725095358553
450,0.607760008545,0.148452075507
sicily,0.607255852187,0.183551299753
africa,0.644260592294,0.146268109534
330,0.614048812257,0.19577252415
encircling,0.78395648379,0.122786688411
young,0.670890477753,0.157798327155
empress,0.79492304785,0.14925936376
female,0.804386337495,0.062629348752
250,0.613346151838,0.238833926677
constantius,0.632792566469,0.185556262433
diocletian,0.735671516815,0.128404448829
corsica,0.62036956799,0.263011083257
standing,0.665823039452,0.0993812404936
strapped,0.609398548376,0.258825746227
provinces,0.626671118137,0.13331303035
area,0.676678974238,0.178094324303
unknown,0.605937159281,0.0421984587078
constantinople,0.532756788345,0.134228545295
provenance,0.597682247328,0.0777207820453
athens,0.660871948827,0.22746790492
long,0.809346036487,0.0914932074909
imperial,0.770652319124,0.172636378635
acquired,0.646131603637,0.205358667099
312,0.60919841086,0.203742200287
forward,0.616197482602,0.0997822386181
awarder,0.679666167796,0.107841756913
type,0.577442633843,0.194671100421
west,0.706968362824,0.17963577907
minor,0.577554137106,0.0729198552697
beard,0.621002152178,0.0794357466796
head,0.623252499077,0.0795745772539
sleeved,0.577080259896,0.181648486081
north,0.611146708223,0.0724500079237
eastern,0.703702582131,0.261085851324
togate,0.570661938448,0.192730796303
environs,0.60260964375,0.186468182017
315,0.671114271947,0.19672439968
tetrarch,0.677798842377,0.115403060199
boots,0.680857654977,0.126088345502
worked,0.533039662958,0.0587222518162
brushed,0.600873690685,0.093624881059
toga,0.682052226394,0.128069407156
270,0.699286678753,0.163273905235
uncertain,0.674718412937,0.0922206316905
veiled,0.599278893443,0.19306989527
emperor,0.572662642455,0.105848578996
plain,0.601973521397,0.161591766491
clean-shaven,0.627629348282,0.076328473202
near,0.633265216625,0.114787306314
500,0.661623010484,0.120937660038
umbo,0.572582131597,0.299302591242
male,0.792793175024,0.0580051511371
hairstyle,0.608006290028,0.175648332904
brow,0.730992138257,0.167584659354
modern,0.653034768193,0.157649811735
covers,0.81300489327,0.0912487550591
ii,0.551111788999,0.159505374931
purchased,0.611414208697,0.0972899072647
baths,0.647587039989,0.129069949326
face,0.753587628562,0.130623814542
italy,0.564134352311,0.0902446563989
mid,0.576257063895,0.0934391991465
short-cropped,0.628464910969,0.0949457062272
320,0.652386601615,0.106146500574
