,Old,Masculine,Baby-faced,Competent,Attractive,Energetic,Well-groomed,Intelligent,Honest,Generous,Trustworthy,Confident,Rich,Dominant
1923,0.0033,0.0133,-0.0031,0.0094,0.0062,-0.0078,0.0542,-0.0222,0.0020,-0.0276,-0.0003,0.0106,-0.0117,0.0001
193,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
kuretes,-0.0149,-0.0154,-0.0082,-0.0144,-0.0278,0.0313,0.0431,-0.0469,0.0078,-0.0333,-0.0199,0.0035,-0.0089,-0.0220
1932,-0.0309,0.0059,0.0380,-0.0286,-0.0216,-0.0072,-0.0093,-0.0331,0.0387,0.0250,0.0284,-0.0135,-0.0608,-0.0317
1953,0.0535,-0.1093,0.0608,-0.0918,-0.0463,0.0041,-0.0924,-0.1069,0.0362,0.0784,0.0689,-0.0514,-0.0523,-0.0542
1954,-0.0288,-0.0232,0.0268,-0.0362,0.0294,0.1001,0.0197,-0.0791,-0.0212,0.0390,0.0243,0.0100,-0.0426,-0.0092
leading,-0.0053,0.0517,-0.0393,0.0266,0.0569,0.0215,0.0435,0.0249,-0.0530,-0.0951,-0.0843,0.0588,0.0273,0.0516
laleli,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1958,-0.0086,0.0503,-0.0218,-0.0276,0.0192,-0.0046,-0.0109,-0.0297,-0.0655,-0.0810,-0.1015,0.0175,-0.0319,0.0326
1959,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1963,-0.0288,-0.0232,0.0268,-0.0362,0.0294,0.1001,0.0197,-0.0791,-0.0212,0.0390,0.0243,0.0100,-0.0426,-0.0092
1965,0.0310,0.0836,-0.0741,0.0475,-0.0115,-0.0261,-0.0037,0.0267,0.0075,0.0270,-0.0127,0.0208,0.0378,0.0176
1968,-0.0090,0.0401,0.0146,-0.0024,-0.0291,0.0366,-0.0300,-0.0407,0.0128,0.0104,-0.0228,0.0320,-0.0373,0.0244
1969,-0.0684,-0.0220,0.0452,-0.0124,0.0602,0.0074,-0.0141,-0.0056,0.0003,-0.0160,-0.0291,-0.0140,-0.0435,-0.0365
1972,-0.0279,-0.0498,0.0548,-0.0044,0.0569,0.0209,0.0071,-0.0090,0.0777,0.0600,0.0699,-0.0075,-0.0339,-0.0440
labicana,-0.0851,-0.0484,0.0331,0.0015,0.0453,-0.0156,0.0065,-0.0043,0.0068,-0.0336,-0.0336,-0.0255,0.0112,-0.0261
world,-0.0125,-0.0593,0.0113,-0.0060,0.0159,-0.0069,0.0127,-0.0421,0.0375,-0.0045,0.0037,-0.0339,-0.0120,-0.0702
houses,-0.0225,-0.0258,0.0045,-0.0303,-0.0494,-0.0026,-0.0070,-0.0084,-0.0549,-0.0391,-0.0059,-0.0332,-0.0572,-0.0437
1787,-0.0010,0.0133,0.0094,-0.0055,0.0023,0.0176,-0.0298,-0.0270,-0.0101,0.0266,0.0585,0.0173,0.0187,0.0349
york,0.0432,0.0756,-0.0907,0.0607,-0.0843,0.0337,0.0450,0.0526,-0.0540,-0.0347,-0.0308,0.0789,0.0459,0.0720
1123,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
years,-0.0160,-0.0349,0.0285,-0.0133,0.0511,-0.0339,-0.0087,-0.0017,0.0121,0.0261,0.0495,-0.0155,0.0277,-0.0096
16th,-0.0448,-0.0329,0.0422,-0.0129,-0.0042,0.0138,-0.0255,-0.0096,-0.0391,-0.0387,-0.0387,-0.0190,0.0176,-0.0412
170,0.0510,0.0415,-0.0545,0.0441,0.0004,0.0340,0.0091,0.0535,0.0384,-0.0071,0.0089,0.0402,0.0141,0.0707
1704,-0.0224,-0.0107,-0.0080,0.0140,0.0030,0.0032,-0.0063,0.0176,-0.0343,-0.0174,0.0068,0.0014,0.0105,0.0177
1739,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
180,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
lances,-0.0279,-0.0498,0.0548,-0.0044,0.0569,0.0209,0.0071,-0.0090,0.0777,0.0600,0.0699,-0.0075,-0.0339,-0.0440
1821,-0.0051,0.0008,-0.0165,-0.0108,-0.0428,-0.0124,0.0020,0.0008,-0.0664,-0.0444,-0.0311,-0.0104,0.0245,0.0081
1859,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1863,-0.0387,-0.0441,0.0156,-0.0190,-0.0358,-0.0003,-0.0150,-0.0100,-0.0458,-0.0517,-0.0263,-0.0332,0.0037,-0.0210
1880,-0.0022,0.0232,-0.0483,0.0407,-0.0209,0.0217,0.0165,0.0626,-0.0440,-0.0516,0.0058,0.0301,0.0745,0.0081
1889,-0.0435,0.0195,-0.0099,-0.0147,-0.0089,-0.0026,0.0107,0.0016,-0.1075,-0.0662,-0.0523,-0.0012,-0.0066,0.0021
1895,-0.0312,0.0640,-0.0015,0.0033,0.0376,0.0378,0.0069,-0.0143,-0.0380,-0.0470,-0.1124,0.0461,-0.0256,0.0393
1900,0.0396,0.0276,-0.0677,0.0698,0.0244,0.0085,0.0475,0.0557,0.0039,0.0041,0.0404,0.0391,0.0526,0.0336
justinian,0.0688,0.0070,-0.0476,0.0620,-0.0743,0.0261,0.0168,0.0288,0.0058,0.0355,0.0437,0.0284,0.0443,0.0171
justice,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
20,-0.0062,-0.0743,0.0250,-0.0036,-0.0013,-0.0084,0.0003,0.0017,0.0223,-0.0213,-0.0184,-0.0438,-0.0213,-0.1040
326,0.1044,0.0591,-0.0527,0.0711,0.0070,-0.0411,0.0110,0.0835,0.0574,0.0536,0.0515,0.0487,0.0677,0.0416
variation,-0.0264,-0.0684,0.0880,-0.0467,-0.0242,-0.0407,-0.0433,-0.0078,0.0749,0.0490,-0.0068,-0.0762,-0.0647,-0.0672
312-337,-0.0669,0.0467,0.0375,-0.0052,0.0243,0.0097,-0.0143,-0.0118,-0.0194,-0.0301,-0.0569,0.0267,-0.0084,0.0571
lightly,0.0214,0.0103,-0.0274,-0.0083,-0.0700,-0.0022,-0.0801,0.0105,-0.0434,-0.0342,-0.0392,0.0114,0.0316,0.0046
limestone,0.0786,-0.0106,-0.0372,0.0486,0.0268,0.1366,0.0767,-0.0241,0.0114,0.0748,0.1123,0.0568,0.0053,0.0489
lollianus,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
317-337,0.0136,0.0114,-0.0033,0.0089,-0.0076,-0.0082,-0.0150,0.0431,0.0060,-0.0013,-0.0220,0.0011,-0.0149,-0.0083
unrecorded,0.0313,0.0645,-0.0228,0.0396,-0.0196,-0.0259,-0.0133,0.0269,-0.0289,0.0080,0.0390,0.0374,0.0614,0.0894
tyche,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2005,-0.0513,0.0079,0.0210,0.0047,0.0994,0.0497,0.0464,-0.0472,-0.0184,-0.0264,-0.0516,0.0319,0.0045,0.0151
immacolata,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
334-342,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
tyana,0.0245,-0.0145,-0.0415,0.0533,0.0025,0.0078,0.0614,0.0393,-0.0192,-0.0196,0.0252,0.0153,0.0053,-0.0145
iii,0.0384,-0.0798,0.0396,-0.0542,-0.0180,-0.1080,-0.0743,-0.0507,-0.0160,-0.0079,-0.0462,-0.0846,-0.0049,-0.0062
342,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
low,0.0389,0.0374,-0.0854,0.1165,0.1007,0.0727,0.1169,0.1011,-0.0172,-0.0709,0.0104,0.0969,0.0952,0.0640
turkey,-0.0279,-0.0498,0.0548,-0.0044,0.0569,0.0209,0.0071,-0.0090,0.0777,0.0600,0.0699,-0.0075,-0.0339,-0.0440
liciniani,0.0209,0.0265,-0.0385,0.0247,0.0267,-0.0429,0.0768,-0.0014,-0.0388,-0.0685,0.0232,0.0078,0.0386,0.0555
vatican,0.0208,0.0119,-0.0434,0.0357,-0.0196,-0.0168,0.0003,0.0360,-0.0018,-0.0127,-0.0047,0.0132,0.0587,0.0271
vedius,-0.0122,0.0043,0.0265,0.0113,0.0804,0.0274,0.0249,-0.0041,0.0300,0.0089,0.0267,0.0359,0.0119,0.0284
30,0.0156,-0.0946,0.0781,-0.0643,-0.0368,-0.0721,-0.0335,-0.0658,-0.0505,0.0609,-0.0225,-0.0926,-0.0336,-0.0302
2006,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2079,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
izmir,0.0178,-0.0141,-0.0032,0.0081,0.0144,-0.0364,-0.0093,-0.0114,0.0202,-0.0219,-0.0177,-0.0154,0.0063,0.0092
iulius,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
villagers,0.0056,-0.0397,0.0049,-0.0370,-0.0347,-0.0570,0.0332,-0.0722,-0.0266,-0.0662,-0.0432,-0.0515,-0.0281,-0.0455
viennensis,-0.0148,0.0131,0.0226,-0.0171,-0.0177,-0.0042,-0.0198,-0.0038,0.0100,0.0297,0.0044,0.0016,-0.0329,0.0195
legs,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
leptis,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
victor,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
vibianus,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
284-305,0.0924,-0.0081,-0.0015,-0.0217,-0.1012,-0.0350,-0.0381,-0.0473,0.0262,0.0311,0.0124,-0.0236,-0.0330,0.0093
vespasian,-0.0462,0.0725,0.0027,0.0237,0.0680,0.0155,-0.0124,0.0161,0.0124,-0.0258,-0.0450,0.0414,-0.0076,0.0435
veria,-0.0183,-0.0486,0.0243,-0.0132,-0.0250,-0.0308,-0.0055,0.0083,-0.0250,-0.0083,-0.0306,-0.0292,0.0049,-0.0297
isocrates,0.0131,0.0019,0.0145,0.0184,0.0466,0.0307,-0.0190,0.0060,-0.0071,0.0322,0.0325,0.0308,0.0515,0.0612
irises,-0.0573,-0.0385,-0.0086,0.0207,-0.1048,0.0935,-0.0089,0.0696,-0.0350,-0.0082,0.0490,0.0229,0.0548,-0.0315
marina,-0.0825,0.0115,0.0275,-0.0647,-0.0096,0.0109,-0.0217,-0.0460,-0.0698,-0.0283,-0.0350,-0.0099,-0.0783,-0.0148
gratian,0.0086,-0.0052,-0.0324,0.0155,0.0235,-0.0296,0.0668,0.0031,-0.0204,-0.0419,-0.0101,-0.0139,0.0018,-0.0034
aquincum,0.0354,0.0137,-0.0222,-0.0010,-0.0560,0.0093,-0.1152,0.0141,0.0050,-0.0039,-0.0243,0.0265,0.0202,-0.0016
embracing,0.0358,-0.0119,-0.0182,-0.0149,-0.0163,0.1119,-0.0201,-0.0387,0.0137,0.0431,0.0548,0.0395,-0.0147,-0.0367
equestrian,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
cloth,0.0109,-0.0285,0.0418,-0.0621,-0.0094,-0.0415,-0.0168,-0.0410,0.0135,0.0798,0.0028,-0.0991,-0.0813,-0.0445
preserved,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
college,-0.0322,-0.0314,0.0767,-0.0716,-0.0118,0.0108,-0.0648,-0.0683,0.1106,0.0476,0.0740,-0.0374,-0.0727,-0.0468
pozzuoli,-0.0094,-0.0283,-0.0108,-0.0327,-0.0209,-0.0099,0.0026,-0.0251,-0.0229,0.0043,-0.0096,-0.0358,-0.0012,-0.0347
entered,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
oecumenius,-0.0305,-0.0233,0.0813,-0.0455,-0.0134,-0.0172,-0.0365,-0.0215,0.0646,0.0633,-0.0132,-0.0274,-0.0654,-0.0394
complex,-0.0599,-0.0179,0.0495,-0.0192,0.0275,0.0420,0.0314,-0.0775,0.0284,0.0314,0.0067,-0.0045,-0.0190,-0.0083
castelloni,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
constana,-0.0642,-0.0329,0.0770,-0.0218,0.0167,-0.0139,-0.0502,0.0200,0.1001,0.0506,0.0558,-0.0298,-0.0344,-0.0459
eleusis,0.0112,0.0246,-0.0127,-0.0088,0.0410,-0.0100,0.0018,0.0031,-0.0383,-0.0260,-0.0106,0.0090,0.0026,0.0207
egnatius,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
educandato,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
constantinus,0.0156,-0.0946,0.0781,-0.0643,-0.0368,-0.0721,-0.0335,-0.0658,-0.0505,0.0609,-0.0225,-0.0926,-0.0336,-0.0302
pophyry,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
construction,0.0333,0.0307,-0.0150,0.0128,-0.0269,-0.0093,-0.0381,0.0569,-0.0455,0.0021,0.0063,-0.0075,-0.0094,-0.0161
clementianus,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
cleaning,0.0275,0.0493,-0.0291,0.0525,0.0245,-0.0025,0.0383,0.0158,0.0244,0.0086,0.0219,0.0304,0.0187,0.0237
prior,-0.0146,0.0081,-0.0086,-0.0061,-0.0364,-0.0180,-0.0409,0.0161,-0.0055,-0.0016,0.0109,-0.0145,0.0163,0.0098
clean,0.0469,-0.0361,0.0257,-0.0189,-0.0938,0.0281,-0.0839,-0.0339,0.0810,0.0943,0.0089,-0.0241,0.0091,-0.0633
cemetery,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nola,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
eyebrows,-0.0010,-0.0381,0.0211,-0.0309,0.0239,-0.0182,-0.0216,-0.0113,-0.0299,-0.0107,-0.0527,-0.0407,-0.0055,-0.0553
eye,0.0395,0.0478,-0.0044,-0.0610,-0.0863,-0.0301,-0.0657,-0.0573,-0.0444,0.0015,0.0325,-0.0313,-0.0877,0.0156
channel,0.0731,0.0342,-0.0144,0.0060,-0.0549,0.0137,-0.0508,0.0221,0.0564,0.0828,0.0633,0.0046,-0.0037,-0.0006
eutolmius,-0.0718,-0.0544,0.0723,-0.0553,0.0131,-0.0558,-0.0306,-0.0068,0.0089,0.0168,0.0132,-0.0496,-0.0345,-0.0587
quintus,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
este,-0.0422,-0.0369,0.0041,0.0134,0.0261,0.0544,0.0451,-0.0053,0.0548,-0.0104,0.0256,-0.0015,-0.0137,-0.0603
prussian,0.0161,-0.0060,-0.0567,0.0295,-0.0735,-0.1008,-0.0437,0.1044,-0.0590,-0.0909,-0.0412,-0.0422,0.0811,-0.0039
church,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
estate,-0.0668,0.0298,0.0306,0.0058,0.0586,0.0300,0.0300,-0.0040,-0.0187,-0.0531,-0.0833,0.0376,-0.0256,0.0111
circus,-0.0369,0.0059,-0.0126,0.0283,0.0046,-0.0185,0.0160,0.0443,-0.0157,-0.0569,-0.0726,0.0023,0.0176,0.0153
pronounced,-0.0010,-0.0381,0.0211,-0.0309,0.0239,-0.0182,-0.0216,-0.0113,-0.0299,-0.0107,-0.0527,-0.0407,-0.0055,-0.0553
process,-0.0162,0.0084,-0.0077,0.0136,0.0069,0.0300,0.0758,-0.0189,-0.0058,-0.0185,-0.0475,0.0358,0.0192,0.0093
claudius,0.0398,0.0060,-0.0359,0.0377,0.0065,-0.0111,0.0145,0.0229,-0.0091,-0.0246,0.0092,0.0148,0.0591,0.0304
consulate,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
edge,-0.0236,0.1014,-0.0377,0.0068,-0.0329,0.0140,-0.0450,-0.0119,-0.0259,0.0671,0.0399,0.0340,-0.0065,0.0327
containing,-0.0279,-0.0498,0.0548,-0.0044,0.0569,0.0209,0.0071,-0.0090,0.0777,0.0600,0.0699,-0.0075,-0.0339,-0.0440
pignattara,-0.0851,-0.0484,0.0331,0.0015,0.0453,-0.0156,0.0065,-0.0043,0.0068,-0.0336,-0.0336,-0.0255,0.0112,-0.0261
pieces,0.0605,0.0361,-0.0617,0.0574,0.0187,-0.0246,0.0411,0.0366,0.0308,0.0007,-0.0118,0.0346,0.0621,0.0431
curtius,0.0390,0.0346,-0.0326,0.0157,-0.0343,-0.0224,0.0232,0.0183,-0.0659,-0.0942,-0.0597,0.0050,0.0156,0.0329
piazza,-0.0555,-0.0477,0.0227,-0.0569,-0.0523,-0.0221,-0.0144,-0.0511,-0.0589,-0.0334,-0.0508,-0.0574,-0.0614,-0.0676
domitian,0.0358,-0.0119,-0.0182,-0.0149,-0.0163,0.1119,-0.0201,-0.0387,0.0137,0.0431,0.0548,0.0395,-0.0147,-0.0367
philip,-0.0126,0.0228,-0.0100,0.0102,0.0479,0.0002,-0.0107,0.0278,-0.0547,-0.0572,-0.0329,0.0197,0.0258,0.0381
philadelphion,0.0530,-0.0465,-0.0293,-0.0200,-0.0519,-0.0375,-0.0222,-0.0119,0.0338,-0.0010,0.0211,-0.0502,0.0036,-0.0176
doctor,0.0099,0.0369,-0.0489,0.0369,-0.0111,-0.0232,-0.0041,0.0315,-0.0480,-0.0554,-0.0576,0.0146,0.0349,0.0563
dionysiou,-0.0513,0.0079,0.0210,0.0047,0.0994,0.0497,0.0464,-0.0472,-0.0184,-0.0264,-0.0516,0.0319,0.0045,0.0151
debris,-0.0784,-0.0683,0.0765,-0.0742,0.0209,-0.0188,-0.0076,-0.0643,-0.0163,0.0101,-0.0016,-0.0482,-0.0541,-0.0567
dikka,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
decorative,-0.0118,-0.0151,0.0260,-0.0259,0.0029,-0.0162,-0.0414,-0.0714,0.0249,0.0591,0.0827,-0.0331,-0.0442,0.0000
diademed,-0.0336,-0.0170,0.0257,-0.0311,-0.0160,0.0006,-0.0466,0.0098,-0.0000,0.0219,-0.0280,-0.0226,-0.0442,0.0106
dedicated,0.0116,0.0063,0.0105,-0.0080,0.0147,-0.0199,-0.0130,0.0167,0.0220,0.0246,0.0509,0.0102,0.0139,0.0117
del,0.0319,0.0098,-0.0355,0.0433,0.0014,0.0223,0.0395,0.0501,0.0198,0.0394,0.0389,0.0395,0.0507,0.0214
paris,-0.0282,-0.0494,0.1068,-0.0929,-0.0263,-0.0354,-0.0420,-0.1115,0.0784,0.0967,-0.0248,-0.0787,-0.1191,-0.0354
drapery,0.0541,0.0745,-0.0521,0.0123,-0.0274,0.0093,-0.0441,-0.0141,-0.0259,-0.0262,-0.0312,0.0591,0.0382,0.0714
pindar,-0.0321,0.0564,0.0105,-0.0312,0.0533,0.0632,0.0130,-0.0677,-0.0178,-0.0222,-0.0307,0.0569,-0.0493,0.0697
edessa,-0.0183,-0.0486,0.0243,-0.0132,-0.0250,-0.0308,-0.0055,0.0083,-0.0250,-0.0083,-0.0306,-0.0292,0.0049,-0.0297
crypta,-0.0054,0.0655,-0.0084,-0.0108,0.0293,0.0085,0.0114,-0.0210,-0.0442,-0.0209,-0.0765,0.0298,-0.0229,0.0381
eburacum,-0.0630,0.0204,0.0241,-0.0428,-0.0144,0.0250,-0.0282,0.0050,-0.0558,-0.0110,0.0032,0.0001,-0.0212,-0.0370
polybotus,0.0418,0.0191,-0.0201,-0.0060,-0.0623,-0.0422,0.0060,0.0198,-0.0361,0.0124,0.0492,-0.0143,0.0151,-0.0139
pollius,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ornate,-0.0071,-0.0616,0.0842,-0.0927,-0.0204,-0.1468,-0.0521,-0.0542,0.0196,0.0067,-0.0388,-0.0903,-0.0242,-0.0203
orontem,-0.0002,0.0125,-0.0180,0.0634,0.0199,-0.0171,0.0301,0.0412,0.0059,-0.0201,0.0163,0.0238,0.0501,0.0429
orontes,-0.0002,0.0125,-0.0180,0.0634,0.0199,-0.0171,0.0301,0.0412,0.0059,-0.0201,0.0163,0.0238,0.0501,0.0429
ostia-vatican,0.0092,0.0162,-0.0428,0.0498,0.0200,0.0356,0.0636,0.0404,-0.0128,-0.0322,0.0042,0.0292,0.0182,-0.0035
creased,-0.0023,-0.0158,-0.0127,0.0134,0.0236,0.0318,0.0385,0.0255,0.0003,0.0100,-0.0083,0.0178,0.0228,-0.0171
plate,-0.0279,-0.0498,0.0548,-0.0044,0.0569,0.0209,0.0071,-0.0090,0.0777,0.0600,0.0699,-0.0075,-0.0339,-0.0440
pacatiana,-0.0147,0.0053,0.0379,-0.0119,-0.0341,-0.0389,-0.0546,0.0301,0.0530,0.0387,0.0325,-0.0007,0.0035,-0.0368
pisidiam,-0.0392,-0.0065,-0.0016,-0.0166,-0.0318,0.0515,-0.0090,0.0065,-0.0559,0.0017,0.0380,0.0202,-0.0147,-0.0184
crispus,0.0156,-0.0946,0.0781,-0.0643,-0.0368,-0.0721,-0.0335,-0.0658,-0.0505,0.0609,-0.0225,-0.0926,-0.0336,-0.0302
pacis,0.0237,0.0096,-0.0152,-0.0332,0.0261,0.0074,-0.0348,-0.0388,0.0019,-0.0069,-0.0407,0.0144,0.0063,-0.0192
cross,-0.0523,-0.0205,0.0616,-0.0928,-0.0260,0.0350,-0.0377,-0.1086,-0.0356,0.0201,-0.0241,-0.0172,-0.1002,-0.0491
pisidia,-0.0392,-0.0065,-0.0016,-0.0166,-0.0318,0.0515,-0.0090,0.0065,-0.0559,0.0017,0.0380,0.0202,-0.0147,-0.0184
facial,-0.0093,0.0120,-0.0333,0.0159,-0.0089,0.0276,0.0206,0.0336,-0.0853,-0.0516,-0.0013,0.0259,0.0535,0.0224
regio,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
staff,0.0136,0.0114,-0.0033,0.0089,-0.0076,-0.0082,-0.0150,0.0431,0.0060,-0.0013,-0.0220,0.0011,-0.0149,-0.0083
basin,-0.0348,-0.0037,0.0008,-0.0638,0.0147,-0.0490,0.0076,-0.0445,-0.0480,-0.0085,-0.0212,-0.0368,-0.0034,-0.0084
awkwardly,-0.0301,0.0412,-0.0376,0.0408,-0.0392,0.0359,0.0571,0.0278,-0.0059,-0.0185,-0.0118,0.0489,0.0298,0.0202
messene,-0.0322,0.0310,0.0555,-0.0553,-0.0448,-0.0094,-0.1086,-0.0286,0.1232,0.0798,0.0154,-0.0517,-0.0891,0.0000
band,-0.0084,-0.0312,0.0528,-0.0808,-0.0120,-0.1697,-0.0282,-0.0521,-0.0387,-0.0468,-0.1006,-0.0859,-0.0060,-0.0160
bank,-0.0209,-0.0407,0.0736,-0.0345,-0.0122,-0.0146,-0.0629,-0.0039,0.1321,0.0722,0.0459,-0.0559,-0.0717,-0.0394
barberini,0.0437,0.0222,-0.0432,0.0214,-0.0100,-0.0416,0.0010,0.0265,-0.0162,-0.0438,-0.0615,-0.0007,0.0247,0.0229
sirzenich,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
mid-third,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
bassin,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
carnuntum,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
milan,0.0598,-0.0295,-0.0588,0.0017,-0.0588,-0.0299,0.0207,0.0198,-0.0459,-0.0518,0.0089,-0.0461,-0.0159,-0.0431
sideburns,0.0158,0.0011,-0.0365,0.0121,-0.0007,-0.0377,0.0422,0.0149,-0.0318,-0.0407,-0.0214,-0.0153,0.0101,0.0210
bayrami,-0.0148,0.0287,-0.0103,0.0435,-0.0630,0.0876,0.0061,0.0169,-0.0137,-0.0369,0.0050,0.0561,0.0550,0.0360
short-bearded,-0.0303,0.0457,0.0046,0.0122,0.0238,0.0207,-0.0017,-0.0163,0.0358,0.0066,-0.0090,0.0408,0.0198,0.0621
germania,-0.0091,-0.0265,0.0007,-0.0001,0.0332,0.0092,0.0363,-0.0292,-0.0487,-0.0518,-0.0090,-0.0078,0.0270,0.0018
berlin-copenhagen,-0.0201,0.0434,-0.0177,0.0518,-0.0049,0.0325,0.0121,0.0792,0.0399,0.0218,0.0153,0.0662,0.0503,0.0306
gaunt,0.0602,0.0063,-0.1018,0.1009,-0.0242,0.0658,0.1125,0.0966,0.0330,-0.0404,0.0497,0.0605,0.0748,-0.0007
god,0.0388,-0.0060,-0.0384,0.0075,-0.0056,-0.0063,0.0172,0.0189,-0.0131,-0.0251,0.0197,-0.0040,0.0052,-0.0208
aurelius,0.0381,0.0457,0.0360,-0.0694,-0.0933,-0.0118,-0.1094,-0.1030,0.0074,0.0716,-0.0060,-0.0169,-0.0733,0.0129
mediolanum,0.0598,-0.0295,-0.0588,0.0017,-0.0588,-0.0299,0.0207,0.0198,-0.0459,-0.0518,0.0089,-0.0461,-0.0159,-0.0431
augustamnica,-0.0020,0.0046,0.0384,-0.0423,-0.0933,-0.0250,-0.0715,-0.0510,0.0476,0.0323,-0.0185,-0.0226,-0.0537,-0.0010
mavortius,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
areopagitou,-0.0513,0.0079,0.0210,0.0047,0.0994,0.0497,0.0464,-0.0472,-0.0184,-0.0264,-0.0516,0.0319,0.0045,0.0151
areopagus,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
greek,0.0064,-0.0691,-0.0045,0.0453,-0.0037,0.0218,0.0279,0.0328,0.0211,0.0201,-0.0061,0.0035,0.0380,-0.0370
medica,0.0209,0.0265,-0.0385,0.0247,0.0267,-0.0429,0.0768,-0.0014,-0.0388,-0.0685,0.0232,0.0078,0.0386,0.0555
spear,-0.0401,-0.0235,0.0614,-0.0471,0.0061,-0.0301,-0.0528,0.0147,0.0033,0.0128,0.0556,-0.0388,-0.0337,-0.0423
spalato,0.0388,-0.0060,-0.0384,0.0075,-0.0056,-0.0063,0.0172,0.0189,-0.0131,-0.0251,0.0197,-0.0040,0.0052,-0.0208
great,-0.0105,0.0253,-0.0538,0.1045,0.0606,0.0439,0.0595,0.1053,0.0519,0.0128,0.0547,0.0626,0.0626,0.0418
southern,0.0050,0.0108,0.0116,0.0323,-0.0419,0.0176,0.0306,0.0077,0.0235,0.0464,0.0273,0.0353,0.0371,-0.0046
asklepieion,0.0461,0.0147,-0.0533,0.0332,0.0138,0.0330,0.0151,0.0470,-0.0298,-0.0576,-0.0549,0.0406,0.0370,-0.0039
assos,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
delle,-0.0195,-0.0116,-0.0112,-0.0009,-0.0132,0.0050,-0.0047,0.0201,-0.0007,0.0130,-0.0115,-0.0094,-0.0181,-0.0491
attributed,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
medieval,0.0781,-0.0274,-0.0632,0.0201,-0.0428,-0.0579,0.0189,0.0186,0.0138,-0.0237,0.0075,-0.0473,0.0020,-0.0341
augustales,-0.0322,-0.0314,0.0767,-0.0716,-0.0118,0.0108,-0.0648,-0.0683,0.1106,0.0476,0.0740,-0.0374,-0.0727,-0.0468
