st,4
ariadne,3
walls,3
vitali,3
sisto,3
victory,3
conservatori-copenhagen,3
broken,3
war,3
colosseum,3
portion,3
short-haired,3
313,3
317,3
uffizi,3
334,3
220,3
ponte,3
340-350,3
corner,3
augustus,3
1902,3
pate,3
1904,3
1909,3
1931,3
southwest,3
cut,3
curls,3
cuma,3
1982,3
cropped,3
pius,3
ariadne-amalasuntha,3
covered,3
bald,3
slope,3
tusculum,3
pupils,3
proconsul,3
agrippina,3
ancyra,3
caesarea,3
tetrach,3
aemilia,3
style,3
sardis,3
romuliana,3
bun,3
lateran,3
tabellae,3
rosini,3
royal,3
buil,3
said,3
britain,3
salutaris,3
caesariensis,3
theodosius,3
throne,3
bornova-heidelberg,3
arching,3
re-carved,3
shops,3
chest,3
trajan,3
378,3
reaches,3
biscari,3
regia,3
celsus,3
southeast,3
related,3
torlonia,3
capitoline-florence,3
campana,3
sothebys,3
cilicia,3
family,3
hooked,3
giustiniani,3
metropolis,3
moesia,3
insulae,3
lucera,3
intellectual,3
esquiline,3
hellespontus,3
giants,3
geyre,3
julian,3
hippodrome,3
john,3
galatia,3
elder,3
gallery,3
original,3
legionary,3
old,3
office-holders,3
luceria,3
octagon,3
nose,3
northeast,3
numidia,3
mrs,3
palaestina,3
felix,3
fori,3
long-faced,3
naissus,3
maritima,3
palatine,3
drain,3
foundations,3
nicomedia,3
governors,3
paphlagonia,3
hadrian,3
lateran-louvre,3
imperiali,3
london,3
palazzo,3
horse,2
horti,2
520,2
379,2
trier-saarburg,2
lugdunensis,2
388-392,2
tiber,2
traiani,2
lsa-739,2
tomb,2
lucania,2
torre,2
town,2
388,2
575,2
traditionally,2
holes,2
hierapolis,2
5th,2
stray,2
annex,2
antaradus,2
mansion,2
maria,2
straight,2
antiquities,2
antoninus,2
antonius,2
straggly,2
aphrodite,2
stephane,2
statuette,2
apollonius,2
statues,2
appears,2
state,2
apse,2
makriyianni,2
amphitheatre,2
theodosian,2
stubble-bearded,2
according,2
theater,2
lusitania,2
366-367,2
hercules,2
temples,2
tempio,2
helmet,2
tarraconensis,2
helbig,2
tabula,2
heavily,2
maesius,2
magistrate,2
stylized,2
headdress,2
main,2
367,2
delphi,2
tunica,2
kreis,2
1911,2
1923,2
193,2
kuretes,2
1932,2
1953,2
1954,2
leading,2
laleli,2
1958,2
1959,2
1963,2
1965,2
1968,2
1969,2
1972,2
labicana,2
world,2
houses,2
1787,2
york,2
1123,2
years,2
16th,2
170,2
1704,2
1739,2
180,2
lances,2
1821,2
1859,2
1863,2
1880,2
1889,2
1895,2
1900,2
justinian,2
justice,2
20,2
326,2
variation,2
312-337,2
lightly,2
limestone,2
lollianus,2
317-337,2
unrecorded,2
tyche,2
2005,2
immacolata,2
334-342,2
tyana,2
iii,2
342,2
low,2
turkey,2
liciniani,2
vatican,2
vedius,2
30,2
2006,2
2079,2
izmir,2
iulius,2
villagers,2
viennensis,2
legs,2
leptis,2
victor,2
vibianus,2
284-305,2
vespasian,2
veria,2
isocrates,2
irises,2
marina,2
gratian,2
aquincum,2
embracing,2
equestrian,2
cloth,2
preserved,2
college,2
pozzuoli,2
entered,2
oecumenius,2
complex,2
castelloni,2
constana,2
eleusis,2
egnatius,2
educandato,2
constantinus,2
pophyry,2
construction,2
clementianus,2
cleaning,2
prior,2
clean,2
cemetery,2
nola,2
eyebrows,2
eye,2
channel,2
eutolmius,2
quintus,2
este,2
prussian,2
church,2
estate,2
circus,2
pronounced,2
process,2
claudius,2
consulate,2
edge,2
containing,2
pignattara,2
pieces,2
curtius,2
piazza,2
domitian,2
philip,2
philadelphion,2
doctor,2
dionysiou,2
debris,2
dikka,2
decorative,2
diademed,2
dedicated,2
del,2
paris,2
drapery,2
pindar,2
edessa,2
crypta,2
eburacum,2
polybotus,2
pollius,2
ornate,2
orontem,2
orontes,2
ostia-vatican,2
creased,2
plate,2
pacatiana,2
pisidiam,2
crispus,2
pacis,2
cross,2
pisidia,2
facial,2
regio,2
staff,2
basin,2
awkwardly,2
messene,2
band,2
bank,2
barberini,2
sirzenich,2
mid-third,2
bassin,2
carnuntum,2
milan,2
sideburns,2
bayrami,2
short-bearded,2
germania,2
berlin-copenhagen,2
gaunt,2
god,2
aurelius,2
mediolanum,2
augustamnica,2
mavortius,2
areopagitou,2
areopagus,2
greek,2
medica,2
spear,2
spalato,2
great,2
southern,2
asklepieion,2
assos,2
delle,2
attributed,2
medieval,2
augustales,2
miletus,2
bodrum,2
body,2
monza,2
byrsa,2
naoussa,2
fontne,2
cache,2
caelian,2
flavia,2
